ID,Year,Country name,Latitude,Longitude,Start date,End date,Type,regions,Cause,References,Fatalities,"Losses (mln EUR, 2020)"
2883,2002,Switzerland,47.0505452,8.3054682,13.07.2002,17.07.2002,River,"[(47.0505452, 8.3054682)]",Heavy rainfall,Hegg et al. (2003),None,39
1466,2005,Switzerland,46.8382351,7.6004502,19.08.2005,26.08.2005,River,"[(46.8382351, 7.6004502)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,47.31874,7.6698284,19.08.2005,26.08.2005,River,"[(47.31874, 7.6698284)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,47.412396,8.1948321,19.08.2005,26.08.2005,River,"[(47.412396, 8.1948321)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,47.3744489,8.5410422,19.08.2005,26.08.2005,River,"[(47.3744489, 8.5410422)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,46.9796562,9.108812,19.08.2005,26.08.2005,River,"[(46.9796562, 9.108812)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,47.425618,9.3762397,19.08.2005,26.08.2005,River,"[(47.425618, 9.3762397)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,46.6960615,9.6027351,19.08.2005,26.08.2005,River,"[(46.6960615, 9.6027351)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,47.0505452,8.3054682,19.08.2005,26.08.2005,River,"[(47.0505452, 8.3054682)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,46.7864413,8.6420159,19.08.2005,26.08.2005,River,"[(46.7864413, 8.6420159)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,47.0571976,8.7222073,19.08.2005,26.08.2005,River,"[(47.0571976, 8.7222073)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,46.8613857,8.2067825,19.08.2005,26.08.2005,River,"[(46.8613857, 8.2067825)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,46.942756,8.4119773,19.08.2005,26.08.2005,River,"[(46.942756, 8.4119773)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
1466,2005,Switzerland,47.1486137,8.5539378,19.08.2005,26.08.2005,River,"[(47.1486137, 8.5539378)]",Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005),6,2906
2884,2006,Switzerland,46.8382351,7.6004502,09.04.2006,10.04.2006,River,"[(46.8382351, 7.6004502)]",Heavy rainfall,Hilker et al. (2007b),None,7
2884,2006,Switzerland,46.6789116,7.1027113,09.04.2006,10.04.2006,River,"[(46.6789116, 7.1027113)]",Heavy rainfall,Hilker et al. (2007b),None,7
2884,2006,Switzerland,47.211567,7.005484,09.04.2006,10.04.2006,River,"[(47.211567, 7.005484)]",Heavy rainfall,Hilker et al. (2007b),None,7
2884,2006,Switzerland,47.5092938,7.6588333,09.04.2006,10.04.2006,River,"[(47.5092938, 7.6588333)]",Heavy rainfall,Hilker et al. (2007b),None,7
2884,2006,Switzerland,47.6960491,8.634513,09.04.2006,10.04.2006,River,"[(47.6960491, 8.634513)]",Heavy rainfall,Hilker et al. (2007b),None,7
1467,2006,Switzerland,46.2303063,7.6605757,05.07.2006,27.07.2006,River,"[(46.2303063, 7.6605757)]",Heavy rainfall,CRED (2023); Brakenridge (2022); Hilker et al. (2007b),None,19
1467,2006,Switzerland,46.8382351,7.6004502,05.07.2006,27.07.2006,River,"[(46.8382351, 7.6004502)]",Heavy rainfall,CRED (2023); Brakenridge (2022); Hilker et al. (2007b),None,19
2885,2006,Switzerland,47.31874,7.6698284,17.09.2006,18.09.2006,Flash,"[(47.31874, 7.6698284)]",Extreme rainfall,Hilker et al. (2007b),None,10
2885,2006,Switzerland,47.5092938,7.6588333,17.09.2006,18.09.2006,Flash,"[(47.5092938, 7.6588333)]",Extreme rainfall,Hilker et al. (2007b),None,10
2885,2006,Switzerland,47.425618,9.3762397,17.09.2006,18.09.2006,Flash,"[(47.425618, 9.3762397)]",Extreme rainfall,Hilker et al. (2007b),None,10
1468,2007,Switzerland,46.8382351,7.6004502,04.06.2007,21.06.2007,River,"[(46.8382351, 7.6004502)]",Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008),3,213
1468,2007,Switzerland,47.3744489,8.5410422,04.06.2007,21.06.2007,River,"[(47.3744489, 8.5410422)]",Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008),3,213
1468,2007,Switzerland,47.6960491,8.634513,04.06.2007,21.06.2007,River,"[(47.6960491, 8.634513)]",Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008),3,213
1468,2007,Switzerland,47.425618,9.3762397,04.06.2007,21.06.2007,River,"[(47.425618, 9.3762397)]",Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008),3,213
